region_id,Zoning
8b2a8ad48652fff,2
8b2a8a892203fff,0
8b2a8ac656b1fff,5
8b2a8a892586fff,0
8b2a8ac63cc2fff,15
8b2a8ac63136fff,2
8b2a8ac64accfff,0
8b2a8ac64accfff,1
8b2a8ac65b84fff,2
8b2a8ac60036fff,13
8b2a8ac63ccdfff,15
8b2a8ad4ad93fff,15
8b2a8ad59a9bfff,15
8b2a8ac64653fff,15
8b2a8ac64653fff,2
8b2a8ac658e8fff,11
8b2a8ac640f1fff,8
8b2a8ad4bcabfff,2
8b2a8ad4bcabfff,10
8b2a8ac651b6fff,5
8b2a8ac60d5afff,15
8b2a8ad4b266fff,0
8b2a8a8928e3fff,0
8b2a8a8934a0fff,6
8b2a8ac64d5cfff,15
8b2a8ac64d5cfff,2
8b2a8ac62d2cfff,15
8b2a8ad4a2ecfff,2
8b2a8ad4a2ecfff,9
8b2a8a892a8cfff,8
8b2a8a892a8cfff,0
8b2a8ad4a614fff,15
8b2a8ac61768fff,15
8b2a8ac65c02fff,4
8b2a8ac6c758fff,7
8b2a8ac65095fff,5
8b2a8ac65cc0fff,5
8b2a8ac6c886fff,3
8b2a8ac62a30fff,15
8b2a8ac63d02fff,15
8b2a8ac63d16fff,15
8b2a8ac628f0fff,15
8b2a8a89232bfff,1
8b2a8a892d00fff,0
8b2a8ac61cd1fff,15
8b2a8ac64954fff,2
8b2a8ac628e8fff,15
8b2a8ac602c0fff,15
8b2a8ac64614fff,2
8b2a8ac65cdafff,5
8b2a8ac64c52fff,15
8b2a8ad48456fff,2
8b2a8ac6086afff,5
8b2a8ac62943fff,15
8b2a8ac66b1dfff,15
8b2a8ac66b1dfff,2
8b2a8ac6682cfff,15
8b2a8ad4adacfff,15
8b2a8ac607a4fff,15
8b2a8ac6004efff,15
8b2a8a892961fff,2
8b2a8ac62baafff,15
8b2a8ad4a665fff,0
8b2a8ac62b45fff,15
8b2a8ad4a843fff,15
8b2a8a896589fff,0
8b2a8ac66990fff,15
8b2a8ac61a01fff,3
8b2a8ac6506dfff,0
8b2a8ad4b41dfff,10
8b2a8ad4b41dfff,2
8b2a8ac60289fff,2
8b2a8ac60289fff,15
8b2a8ac65333fff,0
8b2a8a892295fff,7
8b2a8a892295fff,3
8b2a8ad4a14efff,0
8b2a8ac66173fff,15
8b2a8ad4ad6bfff,15
8b2a8ac658cbfff,1
8b2a8ac61869fff,3
8b2a8ac61ca0fff,5
8b2a8ac62324fff,2
8b2a8ad4b895fff,2
8b2a8ac665a0fff,15
8b2a8ad4ab49fff,1
8b2a8ac63154fff,2
8b2a8ac63154fff,15
8b2a8a8920b4fff,0
8b2a8ad59051fff,15
8b2a8ad4bdb4fff,0
8b2a8a89355efff,6
8b2a8ac642f6fff,10
8b2a8ac642f6fff,0
8b2a8ac65768fff,5
8b2a8ac6045bfff,15
8b2a8ac6198efff,3
8b2a8a8937b1fff,6
8b2a8ad5bb48fff,15
8b2a8a8924c8fff,3
8b2a8ac610d5fff,15
8b2a8ac65d82fff,2
8b2a8ac65d82fff,2
8b2a8ac65d82fff,10
8b2a8ac65b29fff,0
8b2a8ad4a0a1fff,15
8b2a8ac61d74fff,5
8b2a8ac64688fff,15
8b2a8ac602b2fff,2
8b2a8ac602b2fff,15
8b2a8ad5b39afff,15
8b2a8ad4ab35fff,2
8b2a8ad4b6e1fff,0
8b2a8ac64730fff,2
8b2a8ac608ccfff,5
8b2a8ad4b891fff,2
8b2a8ad4a608fff,15
8b2a8ac63151fff,2
8b2a8ac63151fff,15
8b2a8ac62c6dfff,15
8b2a8ac62153fff,2
8b2a8ac644f0fff,15
8b2a8ad4a575fff,15
8b2a8ad4b320fff,0
8b2a8ac61a2afff,3
8b2a8ac6cd89fff,15
8b2a8ac60949fff,5
8b2a8ac64c26fff,2
8b2a8ad59282fff,15
8b2a8ad4e2c2fff,15
8b2a8ac6c90bfff,10
8b2a8ac65a53fff,1
8b2a8ac60652fff,2
8b2a8ac6459dfff,15
8b2a8ac60aa3fff,5
8b2a8ad4b7aefff,0
8b2a8ad4b20cfff,0
8b2a8ad4b20cfff,1
8b2a8ad4b20cfff,2
8b2a8a892063fff,8
8b2a8a892063fff,11
8b2a8ad59210fff,15
8b2a8ad59b9bfff,15
8b2a8ac62949fff,15
8b2a8ad4e2f0fff,15
8b2a8ac64486fff,15
8b2a8ac60465fff,15
8b2a8ac64ae0fff,0
8b2a8ac60a94fff,5
8b2a8ac6199bfff,3
8b2a8ac61263fff,15
8b2a8ad48405fff,2
8b2a8ac64a58fff,2
8b2a8ac64a58fff,1
8b2a8ac64a58fff,10
8b2a8ac64316fff,0
8b2a8ac64a96fff,10
8b2a8ac64a96fff,8
8b2a8a892782fff,3
8b2a8ac65a45fff,1
8b2a8ac65255fff,0
8b2a8ac609a4fff,8
8b2a8ac62166fff,15
8b2a8a890593fff,2
8b2a8a89631dfff,0
8b2a8ac65873fff,11
8b2a8ac66722fff,15
8b2a8ac60a93fff,5
8b2a8ac668b2fff,15
8b2a8ac658cefff,1
8b2a8a8962c3fff,2
8b2a8ac62871fff,15
8b2a8a896581fff,0
8b2a8ad4848afff,2
8b2a8ad5920bfff,15
8b2a8ac654a4fff,5
8b2a8a8962b2fff,0
8b2a8ac6622bfff,15
8b2a8ad4b4e5fff,10
8b2a8ac63b13fff,15
8b2a8ac60a2bfff,5
8b2a8ac66a0dfff,15
8b2a8ac646eafff,15
8b2a8ad4b506fff,1
8b2a8ad4b506fff,3
8b2a8ac666aafff,15
8b2a8ad4b471fff,8
8b2a8ad4b25efff,11
8b2a8ad4b25efff,0
8b2a8a89220bfff,0
8b2a8ac65a4dfff,0
8b2a8ac65aa8fff,1
8b2a8ac65aa8fff,2
8b2a8ac64183fff,15
8b2a8ac60a2efff,5
8b2a8ad4a04efff,0
8b2a8ac603a3fff,15
8b2a8a89215efff,11
8b2a8ac60ac4fff,5
8b2a8ad4ad35fff,15
8b2a8ac619a8fff,3
8b2a8a892559fff,0
8b2a8ac64ab6fff,8
8b2a8ac64ab6fff,2
8b2a8ad4b0b1fff,0
8b2a8a8934eafff,6
8b2a8a89664afff,0
8b2a8ac61446fff,15
8b2a8ac66cb6fff,15
8b2a8a8962a8fff,2
8b2a8a8962a8fff,0
8b2a8ac64d9efff,15
8b2a8ad4b6ecfff,0
8b2a8ad4aa98fff,0
8b2a8ad593aafff,15
8b2a8ad4acedfff,15
8b2a8ac658c2fff,1
8b2a8ac66743fff,15
8b2a8ad4ababfff,2
8b2a8ad4ababfff,0
8b2a8ad59286fff,15
8b2a8ad4b48bfff,8
8b2a8ad4b48bfff,2
8b2a8ac655a1fff,5
8b2a8ac6598afff,11
8b2a8ad4b39efff,0
8b2a8ac66771fff,15
8b2a8ac65653fff,5
8b2a8ad4b0d6fff,2
8b2a8ac61916fff,3
8b2a8ac61916fff,5
8b2a8a893693fff,6
8b2a8ac61494fff,15
8b2a8ad484a6fff,2
8b2a8ad4ba8efff,0
8b2a8ac60466fff,15
8b2a8a8926dafff,3
8b2a8ac66770fff,15
8b2a8ac6398dfff,2
8b2a8ac64a03fff,0
8b2a8ac62a9afff,2
8b2a8a892ce5fff,10
8b2a8ad4a632fff,15
8b2a8ac60209fff,15
8b2a8ac66559fff,15
8b2a8ad4a031fff,15
8b2a8ad4a031fff,0
8b2a8ac63549fff,15
8b2a8a8926cbfff,3
8b2a8ac6679efff,15
8b2a8a892673fff,2
8b2a8a8926defff,3
8b2a8ac66b91fff,15
8b2a8ac61511fff,15
