region_id,cluster
8a2a8ad5b227fff,3
8a2a8ac658cffff,-1
8a2a8a8925a7fff,-1
8a2a8ac65627fff,9
8a2a8ac6c86ffff,0
8a2a8a89270ffff,0
8a2a8ad4a52ffff,2
8a2a8ac6399ffff,-1
8a2a8ad4b467fff,-1
8a2a8ac6c367fff,3
8a2a8ac65a1ffff,7
8a2a8ac6182ffff,9
8a2a8ac65d9ffff,-1
8a2a8ac62c47fff,5
8a2a8ad59b47fff,8
8a2a8ac62a5ffff,5
8a2a8ad48577fff,4
8a2a8ac60c27fff,7
8a2a8ac669a7fff,5
8a2a8ac648affff,7
8a2a8ac6034ffff,9
8a2a8ad4a71ffff,5
8a2a8ad4a78ffff,5
8a2a8ac61d5ffff,9
8a2a8ad4bc1ffff,-1
8a2a8ac62977fff,-1
8a2a8a896c97fff,3
8a2a8ac6ca0ffff,0
8a2a8ac62917fff,4
8a2a8ad5bb4ffff,3
8a2a8ac62ce7fff,5
8a2a8ac660a7fff,15
8a2a8a893727fff,0
8a2a8ad5b2c7fff,3
8a2a8ac6284ffff,4
8a2a8a8962dffff,3
8a2a8ad4b887fff,8
8a2a8ac6305ffff,-1
8a2a8ac60547fff,13
8a2a8a892727fff,0
8a2a8ad59287fff,5
8a2a8ad4e60ffff,3
8a2a8ac61b8ffff,0
8a2a8ad4b04ffff,7
8a2a8a892c97fff,7
8a2a8ad590dffff,4
8a2a8ac6522ffff,-1
8a2a8ac63047fff,4
8a2a8ac6016ffff,9
8a2a8ac6481ffff,20
8a2a8a892897fff,7
8a2a8ac608cffff,9
8a2a8ad4e76ffff,3
8a2a8a892757fff,0
8a2a8ac66b5ffff,7
8a2a8ac64807fff,-1
8a2a8ac62b2ffff,4
8a2a8ac66007fff,15
8a2a8a8906affff,3
8a2a8ac63ad7fff,13
8a2a8ad4ac27fff,5
8a2a8ac65067fff,23
8a2a8ac6342ffff,7
8a2a8ac6c95ffff,0
8a2a8ac62b1ffff,4
8a2a8ac614e7fff,5
8a2a8ac660c7fff,-1
8a2a8ac6c9a7fff,7
8a2a8ac6559ffff,9
8a2a8ac61547fff,3
8a2a8ac64c17fff,5
8a2a8ac61c0ffff,9
8a2a8ac64477fff,-1
8a2a8ac7592ffff,3
8a2a8a89289ffff,7
8a2a8ac64587fff,5
8a2a8ac6ca47fff,0
8a2a8ac6114ffff,0
8a2a8ac65147fff,-1
8a2a8ac6299ffff,4
8a2a8ac64cdffff,5
8a2a8ac6179ffff,4
8a2a8ad59a1ffff,4
8a2a8ac6471ffff,5
8a2a8ac6198ffff,9
8a2a8ad4b247fff,7
8a2a8ac60ac7fff,9
8a2a8ac6048ffff,5
8a2a8ac644b7fff,26
8a2a8ac6008ffff,-1
8a2a8ac62b87fff,4
8a2a8ac66507fff,4
8a2a8ac6699ffff,4
8a2a8ad4acc7fff,5
8a2a8ad4e267fff,4
8a2a8ac65117fff,-1
8a2a8ad4a647fff,4
8a2a8a89242ffff,7
8a2a8ac60147fff,9
8a2a8ad5964ffff,5
8a2a8ac63b17fff,5
8a2a8ac660e7fff,15
8a2a8ad4a017fff,5
8a2a8ac65197fff,9
8a2a8a89358ffff,0
8a2a8ac6cccffff,17
8a2a8ac668f7fff,2
8a2a8ad4a6dffff,4
8a2a8a892557fff,-1
8a2a8ac6c80ffff,7
8a2a8ad4ac4ffff,5
8a2a8ac66777fff,5
8a2a8ad48707fff,7
8a2a8ac600effff,6
8a2a8ac62b67fff,5
8a2a8ac6449ffff,5
8a2a8ad59baffff,4
8a2a8ac6cca7fff,-1
8a2a8ac64177fff,11
8a2a8ac6038ffff,6
8a2a8ac620b7fff,4
8a2a8ac6c897fff,0
8a2a8ac628f7fff,5
8a2a8ad4b56ffff,7
8a2a8ad5b347fff,3
8a2a8a8936cffff,19
8a2a8ad5d25ffff,3
8a2a8ac63147fff,5
8a2a8ac60c17fff,3
8a2a8a892a4ffff,3
8a2a8a892c27fff,7
8a2a8a892617fff,0
8a2a8ac65787fff,9
8a2a8ac65d97fff,23
8a2a8ac6151ffff,6
8a2a8ad4bd77fff,-1
8a2a8ad4bd17fff,7
8a2a8ac62857fff,4
8a2a8ac66537fff,3
8a2a8ad5b237fff,3
8a2a8ac65ba7fff,-1
8a2a8ac66cf7fff,-1
8a2a8ad48487fff,7
8a2a8ac63c47fff,-1
8a2a8ac6678ffff,5
8a2a8ac64c27fff,5
8a2a8ac6562ffff,9
8a2a8ac65477fff,9
8a2a8a896617fff,3
8a2a8ad4b387fff,7
8a2a8ad4a74ffff,7
8a2a8ac6148ffff,5
8a2a8ac6352ffff,18
8a2a8ac6184ffff,0
8a2a8ac650effff,-1
8a2a8ad4b7a7fff,23
8a2a8ad59a97fff,4
8a2a8a8936dffff,0
8a2a8ac6291ffff,4
8a2a8ac63c0ffff,18
8a2a8ac63baffff,5
8a2a8ac64d1ffff,10
8a2a8a89284ffff,3
8a2a8ac610f7fff,13
8a2a8ac66957fff,2
8a2a8ac6602ffff,15
8a2a8ad4b69ffff,-1
8a2a8a89309ffff,0
8a2a8ac638dffff,5
8a2a8ad4a927fff,3
